Order No,Order Date,Customer Name,Address,City,State,Customer Type,Account Manager,Order Priority,Product Name,Product Category,Product Container,Ship Mode,Ship Date,Cost Price,Retail Price,Profit Margin,Order Quantity,Sub Total,Discount %,Discount $,Order Total,Shipping Cost,Total
4293-1,02-09-2014,Vivek Sundaresam,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Small Business,Tina Carlton,Critical,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Small Box,Regular Air,04-09-2014,$156.50,$300.97,$144.47,23,"$4,533.52",2%,$194.83,"$4,757.22",$7.18,"$4,291.55"
5001-1,24-10-2015,Shahid Hopkins,"438 Victoria Avenue,Chatswood",Sydney,NSW,Corporate,Natasha Song,Medium,Bagged Rubber Bands,Office Supplies,Small Pack,Regular Air,26-10-2015,$0.24,$1.26,$1.02,8,$45.20,3%,$0.00,$45.90,$0.70,$46.91
5004-1,13-03-2014,Dennis Pardue,"412 Brunswick St,Fitzroy",Melbourne,VIC,Consumer,Connor Betts,Not Specified,TechSavi Cordless Navigator Duo,Office Supplies,Small Box,Regular Air,13-03-2014,$42.11,$80.98,$38.87,45,$873.32,4%,$72.23,$837.57,$7.18,$82.58
5009-1,18-02-2013,Sean Wendt,"145 Ramsay St,Haberfield",Sydney,NSW,Small Business,Phoebe Gour,Critical,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Wrap Bag,Regular Air,20-02-2013,$5.33,$8.60,$3.27,16,$73.52,1%,$4.35,$740.67,$6.19,$730.92
5010-1,13-09-2014,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Small Business,Tina Carlton,Not Specified,Pizazz Drawing Pencil Set,Office Supplies,Wrap Bag,Express Air,17-09-2014,$1.53,$2.78,$1.25,49,$138.46,7%,$5.95,$123.77,$1.34,$125.97
5011-1,24-11-2013,Patrick OBrill,"53 Riley Street,Woolloomooloo",Sydney,NSW,Home Office,Tina Carlton,Not Specified,"Alto Parchment Paper, Assorted Colors",Office Supplies,Wrap Bag,Regular Air,26-11-2013,$4.59,$7.28,$2.69,45,$197.36,8%,$12.98,$183.58,$11.15,$189.43
5012-1,07-09-2014,Eugene Moren,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Consumer,Mihael Khan,Not Specified,Smiths Metal Binder Clips,Office Supplies,Small Box,Regular Air,07-09-2014,$1.60,$2.62,$1.02,45,$65.50,4%,$5.90,$59.62,$0.80,$60.45
5012-1,28-01-2015,Phillip Flathmann,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Home Office,Nicholas Fernandes,Medium,Smiths Metal Binder Clips,Technology,Small Box,Regular Air,29-01-2015,$1.60,$2.62,$1.02,34,$24.92,2%,$2.49,$22.43,$0.80,$27.43
5014-1,08-06-2014,John Lee,"180 High Street,Windsor",Melbourne,VIC,Home Office,Connor Betts,Not Specified,Artisan Hole Reinforcements,Office Supplies,Wrap Bag,Regular Air,10-06-2014,$3.99,$6.23,$2.24,25,$194.36,10%,$15.93,$178.12,$6.97,$189.45
5015-1,02-10-2014,Ritsa Hightower,"1/160 Anzac Parade,Kensington",Sydney,NSW,Corporate,Natasha Song,Critical,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Small Box,Regular Air,04-10-2014,$156.50,$300.97,$144.47,42,"$1,079.62",4%,$30.83,"$1,753.33",$7.18,"$1,705.42"
5015-1,01-04-2014,Anne Pryor,"1-2/299 Sussex St,Sydney",Sydney,NSW,Corporate,Aanya Zhang,Medium,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Wrap Bag,Express Air,02-04-2014,$156.50,$300.97,$144.47,3,"$1,602.02",10%,$144.41,"$1,513.83",$7.18,"$1,533.62"
5016-1,11-02-2013,Alex Russell,"99 Lygon Street,East Brunswick",Melbourne,VIC,Consumer,Connor Betts,Low,"DrawIt Pizazz Watercolor Pencils, 10-Color Set with Brush",Office Supplies,Wrap Bag,Regular Air,12-02-2013,$2.39,$4.26,$1.87,18,$123.54,6%,$3.71,$119.83,$1.20,$121.03
5018-1,29-12-2013,Lena Creighton,"127 Liverpool St,Sydney",Sydney,NSW,Small Business,Samantha Chairs,Low,TypeRight Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Wrap Bag,Express Air,22-12-2013,$54.29,$90.48,$36.19,1,"$1,029.50",2%,$30.82,"$1,762.54",$19.99,"$1,740.57"
5019-1,18-11-2013,Phillip Flathmann,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Small Business,Nicholas Fernandes,Not Specified,Artisan 487 Labels,Office Supplies,Wrap Bag,Regular Air,20-11-2013,$2.29,$3.69,$1.40,34,$205.60,2%,$6.16,$193.54,$0.50,$199.40
5019-1,13-02-2013,Susan Vittorini,"221 Barkly St,St Kilda",Melbourne,VIC,Corporate,Yvette Biti,Not Specified,Cando CCalored Accent Highlighters,Office Supplies,Small Box,Regular Air,15-02-2013,$3.75,$7.08,$3.33,33,$725.82,8%,$58.07,$667.75,$2.35,$694.05
5019-1,13-02-2013,Susan Vittorini,"3 Carrington Road ,Box Hill",Melbourne,VIC,Corporate,Yvette Biti,Not Specified,Cando S750 Color Inkjet Printer,Office Supplies,Wrap Bag,Regular Air,15-02-2013,$75.00,$120.97,$45.97,27,$725.82,8%,$58.07,$657.75,$26.30,$694.05
5020-1,11-05-2015,Bill Stewart,"Westfield Sydney,Sydney",Sydney,NSW,Small Business,Natasha Song,Low,"Steady EarthWrite Recycled Pencils, Medium Soft, #2",Office Supplies,Small Box,Express Air,13-05-2015,$0.90,$2.10,$1.20,49,$35.70,5%,$1.07,$34.63,$0.70,$35.33
5021-1,18-05-2015,Brian DeCherney,"523 King St,Newtown",Sydney,NSW,Corporate,Aanya Zhang,High,TechSavi Access Keyboard,Technology,Medium Box,Regular Air,25-05-2015,$10.07,$15.98,$5.91,24,$139.20,1%,$5.35,$132.97,$4.00,$139.46
5021-1,23-06-2014,Frank Hawley,"797 Botany Rd,Rosebery",Sydney,NSW,Small Business,Phoebe Gour,Medium,Artisan 479 Labels,Office Supplies,Wrap Bag,Express Air,23-06-2014,$1.59,$2.61,$1.02,22,$23.60,7%,$1.51,$23.63,$0.50,$23.46
5021-1,20-10-2013,Cindy Stewart,"1/173-179 Bronte Rd,Waverley",Sydney,NSW,Home Office,Leighton Forrest,Critical,Smiths Pushpins,Office Supplies,Small Pack,Regular Air,20-10-2013,$0.94,$1.88,$0.94,24,$25.80,6%,$0.16,$23.63,$0.79,$26.46
5022-1,22-02-2013,Rick Han,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Small Business,Nicholas Fernandes,Not Specified,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Wrap Bag,Regular Air,23-02-2013,$156.50,$300.97,$144.47,49,$723.84,7%,$50.67,$673.17,$7.18,$693.16
5023-1,17-02-2013,Olvera Toch,"3 Carrington Road ,Box Hill",Melbourne,VIC,Small Business,Yvette Biti,Low,12 Colored Short Pencils,Furniture,Small Pack,Regular Air,22-02-2013,$1.09,$2.60,$1.51,8,$122.20,0%,$12.22,$109.98,$2.40,$112.38
5023-1,17-02-2013,Olvera Toch,"3 Carrington Road ,Box Hill",Melbourne,VIC,Home Office,Yvette Biti,Medium,12 Colored Short Pencils,Furniture,Large Box,Regular Air,22-02-2013,$1.09,$2.60,$1.51,21,$122.20,5%,$12.22,$109.98,$2.40,$112.38
5023-1,17-02-2013,Olvera Toch,"3 Carrington Road ,Box Hill",Melbourne,VIC,Home Office,Yvette Biti,High,12 Colored Short Pencils,Technology,Small Box,Regular Air,22-02-2013,$1.09,$2.60,$1.51,37,$122.20,10%,$12.22,$109.98,$2.40,$112.38
5023-1,17-02-2013,Olvera Toch,"3 Carrington Road ,Box Hill",Melbourne,VIC,Corporate,Yvette Biti,High,1726 Digital Answering Machine,Office Supplies,Small Box,Express Air,22-02-2013,$8.82,$20.99,$12.17,24,$122.20,7%,$12.22,$109.98,$4.81,$112.38
5023-1,04-06-2014,Frank Merwin,"24 Addison Rd,Marrickville",Sydney,NSW,Corporate,Radhya Staples,Critical,1726 Digital Answering Machine,Office Supplies,Wrap Bag,Regular Air,05-06-2014,$8.82,$20.99,$12.17,29,$122.20,7%,$12.22,$109.98,$4.81,$112.38
5024-1,22-05-2015,Thomas Boland,"3/219 Canley Vale Road,Canley Heights",Sydney,NSW,Corporate,Mihael Khan,Medium,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Small Box,Express Air,24-05-2015,$4.53,$7.30,$2.77,14,$285.14,2%,$2.95,$265.55,$7.72,$274.97
